Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Niko Ikonen,Nuoren naisen muotokuva,5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/viisi-tahtea-ensi-iltaleffa-nuoren-naisen-muotokuva-ehka,Me Naiset
Tuomas Rantanen,Nuoren naisen muotokuva,4,https://voima.fi/kulttuuriartikkeli/nuoren-naisen-muotokuva-on-alykas-elokuva-naisten-valisesta-solidaarisuudesta-ja-taitelijan-malliaan-vangitsevasta-katseesta/,Voima
Marta Balaga,Nuoren naisen muotokuva,5,Episodi 1/2020,Episodi
Hannu Liekso,Nuoren naisen muotokuva,4,Episodi 1/2020,Episodi
maria Lättilä,Nuoren naisen muotokuva,4,Episodi 1/2020,Episodi
Jesse Raatikainen,Nuoren naisen muotokuva,4,Episodi 1/2020,Episodi
Juho Typpö,Ad Astra,3,Helsingin Sanomat 20.9.2019,Helsingin Sanomat
Pekka Eronen,Ad Astra,4,Aamulehti 20.9.2019,Aamulehti
Jarno Lindemark,Ad Astra,4,Etelä-Suomen Sanomat 20.9.2019,Etelä-Suomen Sanomat
Sara Ehnholm Hielm,Ad Astra,3,Hufvudstadsbladet 20.9.2019,Hufvudstadsbladet
Axel Åhman,Ad Astra,3,Vasabladet 20.9.2019,Vasabladet
Heikki Ikonen,Ad Astra,4,Hämeen Sanomat 20.9.2019,Hämeen Sanomat
Timo Alho,Ad Astra,4,Kymen Sanomat 20.9.2019,Kymen Sanomat
T K,Ad Astra,5,Seiska 40/2019,Seiska
Jussi U. Pellonpää,Ad Astra,4,Forssan Lehti 18.10.2019,Forssan Lehti
Veli-Pekka Lehtonen,Kaksi paavia,3,Helsingin Sanomat 13.12.2019,Helsingin Sanomat
Antti Selkokari,Kaksi paavia,4,Aamulehti 13.12.2019,Aamulehti
Marta Balaga,Kaksi paavia,3,Episodi 2/2020,Episodi
Jussi Huhtala,Kaksi paavia,4,Episodi 2/2020,Episodi
Maria Lättilä,Kaksi paavia,3,Episodi 2/2020,Episodi
Jesse Raatikainen,Kaksi paavia,5,Episodi 2/2020,Episodi
Pertti Avola,Poissa,3,Helsingin Sanomat 27.11.2019,Helsingin Sanomat
Pekka Eronen,Poissa,3,Aamulehti 29.11.2019,Aamulehti
Päivi Valotie,Poissa,2,Turun Sanomat 29.11.2019,Turun Sanomat
Hannu Liekso,Poissa,2,https://www.episodi.fi/elokuvat/poissa/,Episodi
Kaarina Lehtisalo,Poissa,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/arttu-haglundin-esikoiselokuva-poissa-sisaltaa-kaikki-kulttielokuvan-ainekset/,Kulttuuritoimitus.fi
Martta Kaukonen,Poissa,1.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/kotimainen-nollabudjetin-scifi-elokuva-poissa-olisi-pitanyt,Me Naiset
Aki Lehti,Poissa,3.5,https://muropaketti.com/elokuvat/arvostelu-poissa-tieteiselokuvassa-perheenisa-teleporttailee-hallitsemattomasti-ympariinsa/,Muropaketti
Klas Fransberg,Poissa,3,Vasabladet 29.11.2019,Vasabladet
Pekka Eronen,The Irishman,5,Aamulehti 22.11.2019,Aamulehti
Henri Waltter Rehnström,The Irishman,5,Turun Sanomat 22.11.2019,Turun Sanomat
Maria Lättilä,The Irishman,5,https://www.episodi.fi/elokuvat/the-irishman/,Episodi
Kaarina Lehtisalo,The Irishman,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/scorsese-on-aikamme-merkittavin-elokuvataiteilija-ylipitka-the-irishman-silti-melkein-epaonnistuu/,Kulttuuritoimitus.fi
Martta Kaukonen,The Irishman,5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/viisi-tahtea-scorsesen-mammuttimainen-irishman-oikea-elokuva,Me Naiset
Aki Lehti,The Irishman,5,https://muropaketti.com/elokuvat/arvostelu-odotettu-al-pacinon-ja-robert-de-niron-tahdittama-the-irishman-on-viiden-tahden-mestariteos/,Muropaketti
Tuomas Rantanen,The Irishman,3,https://voima.fi/kulttuuriartikkeli/the-irishman-valottaa-usan-korruptioverkkoja-joihin-ovat-sotkeutuneet-niin-politiikan-ylin-johto-ay-vaki-kuin-mafiakin/,Voima
Veli-Pekka Lehtonen,The Irishman,4,Helsingin Sanomat 22.11.2019,Helsingin Sanomat
Hannu Björkbacka,The Irishman,4,Keskipohjanmaa 30.11.2019,Keskipohjanmaa
Marta Balaga,The Irishman,3,Episodi 2/2020,Episodi
Jussi Huhtala,The Irishman,5,Episodi 2/2020,Episodi
niko Ikonen,The Irishman,5,Episodi 2/2020,Episodi
Hannu liekso,The Irishman,3,Episodi 2/2020,Episodi
Jesse Raatikainen,The Irishman,5,Episodi 2/2020,Episodi
Jouni Vikman,The Irishman,4,Episodi 2/2020,Episodi
Veli-Pekka Lehtonen,System Crasher,5,Helsingin Sanomat 22.11.2019,Helsingin Sanomat
Janne Kaakko,System Crasher,4,Aamulehti 22.11.2019,Aamulehti
Päivi Valotie,System Crasher,4,Turun Sanomat 22.11.2019,Turun Sanomat
Niko Ikonen,System Crasher,5,https://www.episodi.fi/elokuvat/system-crasher/,Episodi
Pertti Avola,Ford v Ferrari,3,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Pekka Eronen,Ford v Ferrari,3,Aamulehti 15.11.2019,Aamulehti
Henri Waltter Rehnström,Ford v Ferrari,3,Turun Sanomat 15.11.2019,Turun Sanomat
Jarno Lindemark,Ford v Ferrari,4,Etelä-Suomen Sanomat 15.11.2019,Etelä-Suomen Sanomat
Niko Ikonen,Ford v Ferrari,4,https://www.episodi.fi/elokuvat/le-mans-66-taydella-teholla/,Episodi
Petri Hänninen,Ford v Ferrari,2,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ei-mitaan-kilpa-autoilun-juhlaa-james-mangoldin-le-mans-66-kulkee-puoliteholla-ja-kasijarru-paalla/,Kulttuuritoimitus.fi
Martta Kaukonen,Ford v Ferrari,3.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/jos-haluat-jannittaa-kaksi-ja-puoli-tuntia-rystyset-valkoisina,Me Naiset
Olli Sulopuisto,Ford v Ferrari,5,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-le-mans-66/,Muropaketti
Marta Balaga,Ford v Ferrari,3,Episodi 1/2020,Episodi
Jussi Huhtala,Ford v Ferrari,4,Episodi 1/2020,Episodi
Hannu Liekso,Ford v Ferrari,3,Episodi 1/2020,Episodi
maria Lättilä,Ford v Ferrari,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Ford v Ferrari,4,Episodi 1/2020,Episodi
Tuomo Yrttiaho,Tarhapäivä,2,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Janne Kaakko,Tarhapäivä,3,Aamulehti 15.11.2019,Aamulehti
Päivi Valotie,Tarhapäivä,3,Turun Sanomat 15.11.2019,Turun Sanomat
Olli-Matti Oinonen,Tarhapäivä,3,Etelä-Suomen Sanomat 15.11.2019,Etelä-Suomen Sanomat
Hannu Liekso,Tarhapäivä,3,https://www.episodi.fi/elokuvat/tarhapaiva/,Episodi
Anne Välinoro,Tarhapäivä,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ma-haluun-aidin-takaisin-tiina-lymin-ohjaama-tarhapaiva-on-sahakkaa-sahlinkia/,Kulttuuritoimitus.fi
Jouni Vikman,Midway,4,https://www.episodi.fi/elokuvat/midway/,Episodi
Kari Salminen,Midway,4,Turun Sanomat 8.11.2019,Turun Sanomat
Antti Selkokari,Midway,2,Aamulehti 8.11.2019,Aamulehti
Martta Kaukonen,Last Christmas,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/millainen-leffa-syntyy-last-christmas-korvamadon-ymparille,Me Naiset
Niklas Tirkkonen,Last Christmas,2,https://www.episodi.fi/elokuvat/last-christmas/,Episodi
Päivi Valotie,Last Christmas,2,Turun Sanomat 8.11.2019,Turun Sanomat
Kaarina Lehtisalo,Last Christmas,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ensi-illassa-last-christmas-aitoa-joulun-sanomaa-george-michaelin-musiikilla-kuorrutettuna/,Kulttuuritoimitus.fi
Leena Virtanen,Last Christmas,4,Helsingin Sanomat 8.11.2019,Helsingin Sanomat
Janne Kaakko,Last Christmas,3,Aamulehti 8.11.2019,Aamulehti
Päivi Valotie,After the Wedding,3,Turun Sanomat 27.12.2019,Turun Sanomat
Niko Ikonen,After the Wedding,2,https://www.episodi.fi/elokuvat/after-the-wedding/,Episodi
Antti Selkokari,After the Wedding,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/tanskalaisdraaman-hollywood-versio-after-the-wedding-synnyttaa-kysymyksia-siita-kuka-on-hyva-aiti/,Kulttuuritoimitus.fi
Martta Kaukonen,After the Wedding,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/michelle-williams-ja-julianne-moore-tekevat-varmaa-tyota,Me Naiset
Pertti Avola,After the Wedding,4,Helsingin Sanomat 27.12.2019,Helsingin Sanomat
Marta Balaga,After the Wedding,2,Episodi 1/2020,Episodi
Hannu Liekso,After the Wedding,3,Episodi 1/2020,Episodi
Leena Virtanen,Frozen II,4,Helsingin Sanomat 27.12.2019,Helsingin Sanomat
Kari Salminen,Frozen II,3,Turun Sanomat 27.12.2019,Turun Sanomat
Maria Lättilä,Frozen II,3,https://www.episodi.fi/elokuvat/frozen-2/,Episodi
Eija Niskanen,Frozen II,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/frozen-2-on-muovinen-ja-tasapaksu-disney-hitin-jatkoa-mainostetaan-voimauttavaksi-tyttoseikkailuksi/,Kulttuuritoimitus.fi
Martta Kaukonen,Frozen II,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/me-naiset-katsoi-frozen-2-elokuvan-elsa-ja-anna-eivat-peta,Me Naiset
Anni Saari,Frozen II,4,Keskipohjanmaa 11.1.2020,Keskipohjanmaa
Jussi Huhtala,Frozen II,4,Episodi 1/2020,Episodi
Niko Ikonen,Frozen II,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Frozen II,4,Episodi 1/2020,Episodi
Jouni Vikman,Frozen II,3,Episodi 1/2020,Episodi
Marta Balaga,Frozen II,3,Episodi 2/2020,Episodi
Hannu Liekso,The High Note,3,https://www.episodi.fi/elokuvat/the-high-note/,Episodi
T R,The High Note,2,Katso 31/2020,Katso
Niko Ikonen,The High Note,3,https://www.menaiset.fi/artikkeli/high-note-elokuva-ei-erotu-massasta-mutta-tyydyttaa-romantiikan-nalan,Me Naiset
Leena Virtanen,The High Note,3,Helsingin Sanomat 31.7.2020,Helsingin Sanomat
Janne Kaakko,The High Note,3,Aamulehti 31.7.2020,Aamulehti
Henri Waltter Rehnström,The High Note,2,Turun Sanomat 31.8.2020,Turun Sanomat
Jussi Virratvuori,The High Note,4,Etelä-Suomen Sanomat 31.7.2020,Etelä-Suomen Sanomat
Marta Balaga,Isäni Marianne,3,https://www.episodi.fi/elokuvat/isani-marianne/,Episodi
Leena Virtanen,Isäni Marianne,3,Helsingin Sanomat 31.7.2020,Helsingin Sanomat
Päivi Valotie,Isäni Marianne,3,Turun Sanomat 31.8.2020,Turun Sanomat
Malin Slotte,Isäni Marianne,3,Hufvudstadsbladet 31.7.2020,Hufvudstadsbladet
Heikki Ikonen,Isäni Marianne,4,Hämeen Sanomat 31.7.2020,Hämeen Sanomat
Klas Fransberg,Isäni Marianne,4,Vasabladet 18.7.2020,Vasabladet
Jussi U. Pellonpää,Isäni Marianne,3,Forssan Lehti 21.8.2020,Forssan Lehti
Hannu Björkbacka,Isäni Marianne,3,Keskipohjanmaa 11.8.2020,Keskipohjanmaa
Jussi Huhtala,Rattiraivo,1,https://www.episodi.fi/elokuvat/rattiraivo/,Episodi
Pertti Avola,Rattiraivo,2,Helsingin Sanomat 31.7.2020,Helsingin Sanomat
Antti Selkokari,Rattiraivo,2,Aamulehti 31.7.2020,Aamulehti
Niko Ikonen,Jouluiloa Ukrainaan,3,https://www.episodi.fi/elokuvat/jouluiloa-ukrainaan/,Episodi
Susanna Karhapää,Jouluiloa Ukrainaan,2,Helsingin Sanomat 13.12.2019,Helsingin Sanomat
Henri Waltter Rehnström,Western Stars,3,Turun Sanomat 13.12.2019,Turun Sanomat
Jesse Raatikainen,Western Stars,4,https://www.episodi.fi/elokuvat/western-stars/,Episodi
Pertti Avola,Western Stars,4,Helsingin Sanomat 13.12.2019,Helsingin Sanomat
Niko Ikonen,Western Stars,3,Episodi 1/2020,Episodi
Kari Salminen,The Wind,4,Turun Sanomat 6.12.2019,Turun Sanomat
Jouni Vikman,The Wind,4,https://www.episodi.fi/elokuvat/the-wind/,Episodi
Kaarina Lehtisalo,The Wind,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/emma-tammen-the-wind-on-esikoiselokuvaksi-kelvollinen-mutta-karsii-kauhuelokuvakliseista/,Kulttuuritoimitus.fi
Martta Kaukonen,The Wind,4,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/suomensukuisen-emma-tammen-lannenelokuva-wind-tuulettaa,Me Naiset
Tuukka Hämäläinen,The Wind,4,https://muropaketti.com/elokuvat/arvostelu-the-wind/,Muropaketti
Anton Vanha-Majamaa,The Wind,3,Helsingin Sanomat 6.12.2019,Helsingin Sanomat
Niko Ikonen,The Wind,3,Episodi 1/2020,Episodi
Hannu Liekso,The Wind,3,Episodi 1/2020,Episodi
Leena Virtanen,Marriage Story,3,Helsingin Sanomat 27.11.2019,Helsingin Sanomat
Marta Balaga,Marriage Story,5,https://www.episodi.fi/elokuvat/marriage-story/,Episodi
Antti Selkokari,Marriage Story,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ironisten-ihmissuhdekomedioiden-ohjaajan-noah-baumbachin-marriage-storyssa-rakkaus-ei-riita-kaikkeen/,Kulttuuritoimitus.fi
Martta Kaukonen,Marriage Story,3.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/scarlett-johansson-ja-adam-driver-ovat-vahvoilla-kun-oscareita,Me Naiset
Jussi Huhtala,Marriage Story,5,Episodi 1/2020,Episodi
Niko Ikonen,Marriage Story,4,Episodi 1/2020,Episodi
Maria Lättilä,Marriage Story,4,Episodi 1/2020,Episodi
Jesse Raatikainen,Marriage Story,4,Episodi 3/2020,Episodi
Pertti Avola,Veitset esiin,3,Helsingin Sanomat 27.11.2019,Helsingin Sanomat
Maria Lättilä,Veitset esiin,4,https://www.episodi.fi/elokuvat/veitset-esiin-kaikki-ovat-epailtyja/,Episodi
Kaarina Lehtisalo,Veitset esiin,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/nokkela-murhamysteeri-veitset-esiin-kaikki-ovat-epailtyja-luottaa-kovaan-tahtikaartiin/,Kulttuuritoimitus.fi
Martta Kaukonen,Veitset esiin,2.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/murhamysteeri-veitset-esiin-kaikki-ovat-epailtyja-nostaa,Me Naiset
Olli Sulopuisto,Veitset esiin,4,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-veitset-esiin-on-erinomainen-murhamysteeri-the-last-jedi-ohjaajalta-ja-daniel-craigin-kaltaisilta-huippunayttelijoilta/,Muropaketti
Hannu Björkbacka,Veitset esiin,3,Keskipohjanmaa 7.12.2019,Keskipohjanmaa
Marta Balaga,Veitset esiin,3,Episodi 1/2020,Episodi
Jussi Huhtala,Veitset esiin,2,Episodi 1/2020,Episodi
Niko Ikonen,Veitset esiin,3,Episodi 1/2020,Episodi
Hannu Liekso,Veitset esiin,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Veitset esiin,4,Episodi 1/2020,Episodi
Jouni Vikman,Veitset esiin,2,Episodi 2/2020,Episodi
Päivi Valotie,The Queen's Corgi,1,Turun Sanomat 22.11.2019,Turun Sanomat
Maria Lättilä,The Queen's Corgi,1,https://www.episodi.fi/elokuvat/corgi-kuningattaren-koiranpentu/,Episodi
Leena Virtanen,The Queen's Corgi,2,Helsingin Sanomat 22.11.2019,Helsingin Sanomat
Kari Salminen,Kolme sekuntia,3,Turun Sanomat 22.11.2019,Turun Sanomat
Marta Balaga,Kolme sekuntia,3,https://www.episodi.fi/elokuvat/kolme-sekuntia/,Episodi
Kaarina Lehtisalo,Kolme sekuntia,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/arvostelussa-kolme-sekuntia-ruotsalaisen-menestysjannarin-siirto-new-yorkiin-syo-tarinan-uskottavuutta/,Kulttuuritoimitus.fi
Susanna Karhapää,Kolme sekuntia,2,Helsingin Sanomat 22.11.2019,Helsingin Sanomat
Pertti Avola,Countdown,1,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Henri Waltter Rehnström,Countdown,3,Turun Sanomat 15.11.2019,Turun Sanomat
Jarno Lindemark,Countdown,1,Etelä-Suomen Sanomat 15.11.2019,Etelä-Suomen Sanomat
Niko Ikonen,Countdown,1,https://www.episodi.fi/elokuvat/countdown/,Episodi
Kari Salminen,The Golden Glove,3,Turun Sanomat 15.11.2019,Turun Sanomat
Jarno Lindemark,The Golden Glove,4,Etelä-Suomen Sanomat 15.11.2019,Etelä-Suomen Sanomat
Niko Ikonen,The Golden Glove,4,https://www.episodi.fi/elokuvat/kultainen-hansikas/,Episodi
Valtteri Mörttinen,The Golden Glove,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/fatih-akin-nayttaa-katsojalle-keskisormea-kultainen-hansikas-massailee-prostituoitujen-murhilla/,Kulttuuritoimitus.fi
Leena Virtanen,The Golden Glove,2,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Juho Typpö,The Lighthouse,4,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Kari Salminen,The Lighthouse,5,Turun Sanomat 15.11.2019,Turun Sanomat
Olli-Matti Oinonen,The Lighthouse,4,Etelä-Suomen Sanomat 15.11.2019,Etelä-Suomen Sanomat
Maria Lättilä,The Lighthouse,4,https://www.episodi.fi/elokuvat/the-lighthouse/,Episodi
Valtteri Mörttinen,The Lighthouse,4.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/pattinson-ja-dafoe-saiden-armoilla-the-lighthouse-luo-kauhua-luonnon-ja-esineiden-avulla/,Kulttuuritoimitus.fi
Aki Lehti,The Lighthouse,5,https://muropaketti.com/elokuvat/arvostelu-the-witch-ohjaajan-mestarillinen-the-lighthouse-kauhusekoilu-todistaa-robert-twilight-pattinsonin-olevan-yksi-sukupolvensa-parhaista-nayttelijoista/,Muropaketti
Sebastian Granskog,The Lighthouse,5,Vasabladet 15.11.2020,Vasabladet
Marta Balaga,The Lighthouse,5,Episodi 1/2020,Episodi
Jussi Huhtala,The Lighthouse,4,Episodi 1/2020,Episodi
Niko Ikonen,The Lighthouse,5,Episodi 1/2020,Episodi
Hannu Liekso,The Lighthouse,4,Episodi 1/2020,Episodi
Jesse Raatikainen,The Lighthouse,4,Episodi 1/2020,Episodi
Veli-Pekka Lehtonen,Jumalan armosta,3,Helsingin Sanomat 15.11.2019,Helsingin Sanomat
Päivi Valotie,Jumalan armosta,3,Turun Sanomat 15.11.2019,Turun Sanomat
Jussi Huhtala,Jumalan armosta,4,https://www.episodi.fi/elokuvat/jumalan-armosta/,Episodi
Marta Balaga,Jumalan armosta,2,Episodi 1/2020,Episodi
Niko Ikonen,Jumalan armosta,3,Episodi 1/2020,Episodi
Hannu Liekso,Jumalan armosta,3,Episodi 1/2020,Episodi
Jesse Raatikainen,Jumalan armosta,4,Episodi 1/2020,Episodi
Niko Ikonen,"Someone, Somewhere",3,https://www.episodi.fi/elokuvat/someone-somewhere/,Episodi
Henri Waltter Rehnström,"Someone, Somewhere",4,Turun Sanomat 8.11.2019,Turun Sanomat
Leena Virtanen,"Someone, Somewhere",3,Helsingin Sanomat 8.11.2019,Helsingin Sanomat
Martta Kaukonen,Edie,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/oletko-kyllastynyt-yrmyihin-jaariin-jotka-pahoittavat-mielensa,Me Naiset
Niko Ikonen,Edie,3,https://www.episodi.fi/elokuvat/edie/,Episodi
Kari Salminen,Edie,3,Turun Sanomat 8.11.2019,Turun Sanomat
Kaarina Lehtisalo,Edie,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/edie-on-elokuva-joka-muistuttaa-kaikkein-tarkeimmasta-elama-on-tarkoitettu-elettavaksi/,Kulttuuritoimitus.fi
Pertti Avola,Edie,3,Helsingin Sanomat 8.11.2019,Helsingin Sanomat
Maria Lättilä,Kiitos tilauksestasi,4,https://www.episodi.fi/elokuvat/kiitos-tilauksestasi/,Episodi
Kari Salminen,Kiitos tilauksestasi,3,Turun Sanomat 8.11.2019,Turun Sanomat
Jarno Lindemark,Kiitos tilauksestasi,4,Etelä-Suomen Sanomat 8.11.2019,Etelä-Suomen Sanomat
Antti Selkokari,Kiitos tilauksestasi,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ken-loachin-elokuva-kiitos-tilauksestasi-kysyy-kuka-maksaa-sinun-puoli-ilmaisen-nettitilauksesi/,Kulttuuritoimitus.fi
Juho Typpö,Kiitos tilauksestasi,5,Helsingin Sanomat 8.11.2019,Helsingin Sanomat
Pertti Avola,Blinded by the Light,4,Helsingin Sanomat 8.11.2019,Helsingin Sanomat
Martta Kaukonen,Blinded by the Light,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/ensi-iltakomedia-blinded-light-fanielokuva-niin-hyvassa-kuin,Me Naiset
Maria Lättilä,Blinded by the Light,3,https://www.episodi.fi/elokuvat/blinded-by-the-light/,Episodi
Päivi Valotie,Blinded by the Light,4,Turun Sanomat 8.11.2019,Turun Sanomat
Jarno Lindemark,Blinded by the Light,3,Etelä-Suomen Sanomat 8.11.2019,Etelä-Suomen Sanomat
Tero Alanko,Blinded by the Light,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/springsteenin-musiikkiin-nojaava-blinded-by-the-light-itkettaa-ja-naurattaa-kuten-draamakomedian-kuuluukin/,Kulttuuritoimitus.fi
Jarno Lindemark,Perhe Addams,2,Etelä-Suomen Sanomat 1.11.2019,Etelä-Suomen Sanomat
Pertti Avola,Perhe Addams,3,Helsingin Sanomat 1.11.2019,Helsingin Sanomat
Kari Salminen,Perhe Addams,2,Turun Sanomat 1.11.20191,Turun Sanomat
Jussi U. Pellonpää,Perhe Addams,2,Forssan Lehti 1.11.2019,Forssan Lehti
Krister Uggedal,Perhe Addams,2,Hufvudstadsbladet 1.11.2019,Hufvudstadsbladet
Timo Alho,Perhe Addams,2,Etelä-Saimaa 2.11.2019,Etelä-Saimaa
Helinä Laajalahti,Perhe Addams,2,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-uutena-animaationa-perhe-addams-kaantyy-hampaattomaksi-ja-sisasiistiksi-lastenelokuvaksi/,Muropaketti
Niklas Tirkkonen,Perhe Addams,3,https://www.episodi.fi/elokuvat/perhe-addams/,Episodi
Jouni Vikman,Pekka Töpöhänta,3,https://www.episodi.fi/elokuvat/pekka-topohanta/,Episodi
T R,Pekka Töpöhänta,3,Katso 31/2020,Katso
Tuomo Yrttiaho,Pekka Töpöhänta,2,Helsingin Sanomat 31.7.2020,Helsingin Sanomat
Päivi Valotie,Pekka Töpöhänta,1,Turun Sanomat 31.8.2020,Turun Sanomat
Jussi Virratvuori,Pekka Töpöhänta,3,Etelä-Suomen Sanomat 31.7.2020,Etelä-Suomen Sanomat
Krister Uggedal,Pekka Töpöhänta,3,Hufvudstadsbladet 31.7.2020,Hufvudstadsbladet
Niko Ikonen,The Witch in the Window,3,https://www.episodi.fi/elokuvat/the-witch-in-the-window/,Episodi
Tuukka Hämäläinen,The Witch in the Window,3.5,https://muropaketti.com/elokuvat/elokuvauutiset/arvostelu-the-witch-in-the-window-on-laatukauhua-joka-panostaa-juuri-oikeisiin-asioihin/,Muropaketti
Pertti Avola,The Witch in the Window,4,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Kari Salminen,The Witch in the Window,4,Turun Sanomat 7.8.2020,Turun Sanomat
Krister Uggedal,The Witch in the Window,3,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet
Jussi U. Pellonpää,The Witch in the Window,4,Forssan Lehti 14.8.2020,Etelä-Suomen Sanomat
Oona Komonen,Eden,3,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Pekka Eronen,Eden,4,Aamulehti 7.8.2020,Aamulehti
Päivi Valotie,Eden,3,Turun Sanomat 7.8.2020,Turun Sanomat
Jussi Virratvuori,Eden,4,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat
Krister Uggedal,Eden,2,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet
T R,Eden,2,Seiska 32/2020,Seiska
Klas Fransberg,Eden,3,Vasabladet 7.8.2020,Vasabladet
Kirsi Hemanus,Eden,3,Eeva,Eeva
Heikki Ikonen,Eden,2,Hämeen Sanomat 12.8.2020,Hämeen Sanomat
Hannu Björkbacka,Eden,4,Keskipohjanmaa 1.8.2020,Keskipohjanmaa
Pertti Avola,Terapiaa Tunisialaisittain,2,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Jarno Lindemark,Terapiaa Tunisialaisittain,3,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat
Krister Uggedal,Terapiaa Tunisialaisittain,3,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet
Heikki Ikonen,Terapiaa Tunisialaisittain,4,Hämeen Sanomat 7.8.2020,Hämeen Sanomat
Aki Lehti,Peninsula,2.5,https://muropaketti.com/elokuvat/elokuva-arvostelut/arvostelu-train-to-busan-leffan-jatko-osa-peninsula-on-tavallista-parempaa-zombikauhua/,Muropaketti
Jussi Ahlroot,Peninsula,3,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Kari Salminen,Peninsula,2,Turun Sanomat 7.8.2020,Turun Sanomat
Jussi Virratvuori,Peninsula,2,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat
Martina Moliis-Mellberg,Peninsula,2,Hufvudstadsbladet 7.8.2020,Hufvudstadsbladet
Leena Virtanen,Lauluja rakkaudesta,4,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Onni Rajala,Lauluja rakkaudesta,4,Turun Sanomat 7.8.2020,Turun Sanomat
Jussi Virratvuori,Lauluja rakkaudesta,5,Etelä-Suomen Sanomat 7.8.2020,Etelä-Suomen Sanomat
T R,Lauluja rakkaudesta,4,Seiska 32/2020,Seiska
Hannu Björkbacka,Lauluja rakkaudesta,4,Keskipohjanmaa 15.8.2020,Keskipohjanmaa
Tuomo Yrttiaho,Lasse-Maijan etsivätoimisto: Junan arvoitus,3,Helsingin Sanomat 7.8.2020,Helsingin Sanomat
Iida Simes,Billie,5,Voima 8 / 2020,Voima
Jussi Huhtala,Billie,3,Episodi 2/2021,Episodi
Jesse Raatikainen,Billie,3,Episodi 2/2021,Episodi
Jouni Vikman,Billie,3,Episodi 2/2021,Episodi
Tuomas Rantanen,Viimeiset,2,Voima 8 / 2020,Voima
Niko Ikonen,Viimeiset,4,https://www.episodi.fi/elokuvat/viimeiset/,Episodi
Juho Typpö,Tove,4,Helsingin Sanomat 2.10.2020,Helsingin Sanomat
Pekka Eronen,Tove,4,Aamulehti 2.10.2020,Aamulehti
