googleID,NIMI,kaviID
158,Miikko Oikkonen,elonet_henkilo_262635
158,Antti Pesonen,elonet_henkilo_743404
159,Nick Schenk,elonet_henkilo_1477886
159,N. Richard Nash,elonet_henkilo_835336
161,Teemu Nikki,elonet_henkilo_174299
162,Nick Payne,elonet_henkilo_1551683
162,Esta Spalding,elonet_henkilo_1469150
163,Jonathan Hensleigh,elonet_henkilo_165206
164,Hannaleena Hauru,elonet_henkilo_1341192
164,Lasse Poser,elonet_henkilo_1302097
165,Pekko Pesonen,elonet_henkilo_744018
166,Matt Lieberman,elonet_henkilo_1501353
166,Zak Penn,elonet_henkilo_162563
168,M. Night Shyamalan,elonet_henkilo_201796
170,Lars Mering,elonet_henkilo_1512619
170,René Ezra,elonet_henkilo_1550405
170,Mari Perankoski,elonet_henkilo_245545
170,Renny Harlin,elonet_henkilo_108102
170,Aleksi Bardy,elonet_henkilo_164393
171,Lisa Joy,elonet_henkilo_1550995
173,Justin Lin,elonet_henkilo_1336731
173,Daniel Casey,elonet_henkilo_1550470
174,Malcolm Campbell,elonet_henkilo_104032
174,Clare Dunne,elonet_henkilo_1044143
175,Filippo Meneghetti,elonet_henkilo_1550992
175,Malysone Bovorasmy,elonet_henkilo_1550993
