criticID,googleID,stars,link,publisher,name
kariSalminen,67,4,Turun Sanomat 8.11.2019,Turun Sanomat,Kari Salminen
anttiSelkokari,67,2,Aamulehti 8.11.2019,Aamulehti,Antti Selkokari
marttaKukonen,68,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/millainen-leffa-syntyy-last-christmas-korvamadon-ymparille,Me Naiset,Martta Kaukonen
niklasTirronen,68,2,https://www.episodi.fi/elokuvat/last-christmas/,Episodi,Niklas Tirkkonen
päiviValotie,68,2,Turun Sanomat 8.11.2019,Turun Sanomat,Päivi Valotie
kaarinaLehtisalo,68,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ensi-illassa-last-christmas-aitoa-joulun-sanomaa-george-michaelin-musiikilla-kuorrutettuna/,Kulttuuritoimitus.fi,Kaarina Lehtisalo
leenaVirtanen,68,4,Helsingin Sanomat 8.11.2019,Helsingin Sanomat,Leena Virtanen
janneKaakko,68,3,Aamulehti 8.11.2019,Aamulehti,Janne Kaakko
päiviValotie,69,3,Turun Sanomat 27.12.2019,Turun Sanomat,Päivi Valotie
nikoIkonen,69,2,https://www.episodi.fi/elokuvat/after-the-wedding/,Episodi,Niko Ikonen
anttiSelkokari,69,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/tanskalaisdraaman-hollywood-versio-after-the-wedding-synnyttaa-kysymyksia-siita-kuka-on-hyva-aiti/,Kulttuuritoimitus.fi,Antti Selkokari
marttaKaukonen,69,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/michelle-williams-ja-julianne-moore-tekevat-varmaa-tyota,Me Naiset,Martta Kaukonen
avola,69,4,Helsingin Sanomat 27.12.2019,Helsingin Sanomat,Pertti Avola
martaBalaga,69,2,Episodi 1/2020,Episodi,Marta Balaga
hannuLiekso,69,3,Episodi 1/2020,Episodi,Hannu Liekso
leenaVirtanen,70,4,Helsingin Sanomat 27.12.2019,Helsingin Sanomat,Leena Virtanen
kariSalminen,70,3,Turun Sanomat 27.12.2019,Turun Sanomat,Kari Salminen
mariaLättilä,70,3,https://www.episodi.fi/elokuvat/frozen-2/,Episodi,Maria Lättilä
eijaNiskanen,70,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/frozen-2-on-muovinen-ja-tasapaksu-disney-hitin-jatkoa-mainostetaan-voimauttavaksi-tyttoseikkailuksi/,Kulttuuritoimitus.fi,Eija Niskanen
marttaKaukonen,70,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/me-naiset-katsoi-frozen-2-elokuvan-elsa-ja-anna-eivat-peta,Me Naiset,Martta Kaukonen
anniSaari,70,4,Keskipohjanmaa 11.1.2020,Keskipohjanmaa,Anni Saari
jussiHuhtala,70,4,Episodi 1/2020,Episodi,Jussi Huhtala
nikoikonen,70,3,Episodi 1/2020,Episodi,Niko Ikonen
jesseRaatikainen,70,4,Episodi 1/2020,Episodi,Jesse Raatikainen
jouniVikman,70,3,Episodi 1/2020,Episodi,Jouni Vikman
martaBalaga,70,3,Episodi 2/2020,Episodi,Marta Balaga
hannuLiekso,71,3,https://www.episodi.fi/elokuvat/the-high-note/,Episodi,Hannu Liekso
tr,71,2,Katso 31/2020,Katso,T R
nikoIkonen,71,3,https://www.menaiset.fi/artikkeli/high-note-elokuva-ei-erotu-massasta-mutta-tyydyttaa-romantiikan-nalan,Me Naiset,Niko Ikonen
leenaVirtanen,71,3,Helsingin Sanomat 31.7.2020,Helsingin Sanomat,Leena Virtanen
janneKaakko,71,3,Aamulehti 31.7.2020,Aamulehti,Janne Kaakko
